"","ID...1","M_area","SD_area","M_perim","SD_perim","ID...6","M_area_day","M_area_month","M_area_number","SD_area_day","SD_area_month","SD_area_number","M_perim_day","M_perim_month","M_perim_number","SD_perim_day","SD_perim_month","SD_perim_number"
"1","1005_SeMi",155.625,249.589605950058,152.408613914749,192.370044734836,"1005_SeMi",NA,109.708333333333,NA,NA,105.972932864954,NA,NA,110.153524599117,NA,NA,88.7629358251612,NA
"2","101_Elin",777.894736842105,1382.49124492462,164.389887821715,83.161871580683,"101_Elin",316.928571428571,1046.79166666667,NA,249.392225506043,1679.47762871589,NA,125.145921245906,187.282201657605,NA,41.7249631879863,92.7766624201949,NA
"3","1025_MaJo",692.568965517241,1192.92588361268,164.665101470718,115.402597517135,"1025_MaJo",1565.28571428571,606.666666666667,184.75,2076.0469080167,572.684967000681,156.417751329683,280.042532614124,164.494035879215,84.1061783801383,145.262686774017,80.9859952482683,25.9326147653627
"4","1027_ReEd",1439.43103448276,4672.47981951694,300.384018991946,374.880603874642,"1027_ReEd",1402.92857142857,176.875,2980.05,2914.50974559065,174.894391603292,7376.52612538235,295.166840476728,219.633803397615,400.936302665795,305.396405589124,128.197109851999,560.383719115125
"5","103_PG",1126.86206896552,1946.07445167226,187.997458133551,147.535879881056,"103_PG",1782,1643.45833333333,48.35,2123.10162851428,2280.03946825175,53.1221997233574,260.066652483761,262.884216499284,47.6849120495256,137.419816826715,124.865359613397,40.2473440199706
"6","10_AS",1823.14285714286,1858.00351876187,273.842780417137,117.36067769735,"10_AS",2045.85714285714,2243.58333333333,NA,1669.33010623167,2341.63457408952,NA,258.081205469279,275.58813986135,NA,74.1089096300384,99.8174343654423,NA
"7","1107_GeBe",397.620689655172,1024.12959914555,197.599288515648,246.609436785627,"1107_GeBe",227.5,792.25,43.15,290.444443913117,1496.89605278962,60.2215951070825,258.789345383068,286.005766500972,48.6784751260652,379.0734683405,192.992044584739,30.7025111862372
"8","1178_AlCa",3342.87931034483,4508.75606199135,364.172570469546,257.792666043387,"1178_AlCa",3163.64285714286,2277.25,4747.1,2642.07138502566,2319.09309090552,6745.94675930001,348.985197885208,282.219469471164,473.147452476642,116.059163749329,172.161851066136,362.254727249607
"9","1188_MiBo",1488.05263157895,1432.25828079112,253.596257943772,149.102113743663,"1188_MiBo",1900.07142857143,1247.70833333333,NA,1546.8156425841,1324.26902950269,NA,224.585325267345,270.519302005021,NA,95.5152880679711,171.922982369896,NA
"10","1198_LiKe",416.277777777778,488.720496061338,125.805440736594,59.808139518609,"1198_LiKe",NA,368.125,NA,NA,536.904824965681,NA,NA,120.06712057135,NA,NA,46.0892932516022,NA
"11","1230_FeKe",541.404761904762,610.854193422718,129.444090533358,55.0974146020503,"1230_FeKe",NA,407.833333333333,NA,NA,319.20354008062,NA,NA,129.808053644888,NA,NA,48.9347907490019,NA
"12","12_CH",579.136363636364,507.424244233919,165.521558446876,47.4574362756044,"12_CH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","13_vz",329.948275862069,371.808965972077,128.978720232436,64.7739709223638,"13_vz",228.857142857143,269.791666666667,472.9,132.392233803303,263.087258066868,530.380058916766,118.598228898223,132.773876562838,131.690876569902,45.0646685313775,74.1683229336608,65.5680644406062
"14","146_ChSa",167.827586206897,151.580008568393,148.112097016847,110.746698108716,"146_ChSa",123.214285714286,184.708333333333,178.8,127.662501486201,181.169114956953,123.954705298013,178.26500950927,128.633254544949,150.379669238428,149.815604732152,78.8917408112046,110.662223668622
"15","147_MeWi",9719,8785.90996200536,653.641031131843,320.566269590875,"147_MeWi",8417.14285714286,8914.54166666667,11595.65,12671.1884852437,4493.38818769947,9388.43342955612,563.38117667706,758.052844635224,591.528753046132,351.557147289453,372.241724808277,169.860232053868
"16","148_KaHe",1681.48275862069,2265.53359063172,248.917502172962,108.641973194183,"148_KaHe",3164.78571428571,1701.75,618.85,3439.63737031765,1758.69072851694,752.833923504587,266.731777950378,251.072901573891,233.861029847655,131.070247286245,124.219435141629,63.7283231272552
"17","149_MaRo",2127.63793103448,1847.97270865037,267.310658444723,71.8996213841165,"149_MaRo",1968.28571428571,2940.08333333333,1264.25,1272.48056538625,2349.19637779147,860.872820416021,251.586456884183,300.353010635468,238.666776908207,42.2372035623421,76.9719542795371,67.575545638429
"18","150_AnTa",6253.27586206897,8380.98283413338,560.42757069221,418.990529523957,"150_AnTa",8325,5976.33333333333,5135.4,12588.7218840913,5936.22801713585,7209.80001085687,796.345868119674,563.485756132666,391.614939964439,552.711225623469,316.468028750313,345.332170180659
