"","ID","group","triangle_area","Consistency","GA_lineInter","SynQuest","SynCons","SynSD","SynPermzs","SynLine"
"51","29434","Syn",351,0.163240495137047,0.247242540345989,TRUE,TRUE,FALSE,FALSE,TRUE
"52","29436","Syn",80,0.0358929582235255,0.307906652734239,TRUE,TRUE,FALSE,FALSE,FALSE
"53","29457","Syn",631,0.113284409234615,0.497619876930222,TRUE,TRUE,FALSE,FALSE,FALSE
"54","29463","Syn",1786,0.140466464669702,0.28747242540346,TRUE,TRUE,FALSE,FALSE,FALSE
"55","29485","Syn",336.5,0.198626953822439,0.574596540113782,TRUE,TRUE,FALSE,FALSE,FALSE
"56","29489","Syn",5808.2275390625,0.434584723763568,2.6151166840822,TRUE,FALSE,FALSE,FALSE,FALSE
"57","29497","Syn",16.5,0.0815134356828031,0.910716358992221,TRUE,TRUE,FALSE,FALSE,FALSE
"58","29514","Syn",34,0.0124680132070918,0.47161267850923,TRUE,TRUE,FALSE,FALSE,FALSE
"59","29526","Syn",55.5,0.0637392994409504,0.38250319284802,TRUE,TRUE,FALSE,FALSE,FALSE
"60","29530","Syn",645,0.433604872256705,0.691512829443864,TRUE,FALSE,FALSE,FALSE,FALSE
"61","29535","Syn",273.5,0.299855601110779,1.05439451991176,TRUE,FALSE,FALSE,FALSE,FALSE
"62","29544","Syn",460.5,0.832911522448588,0.830488796006037,TRUE,FALSE,FALSE,FALSE,FALSE
"63","29548","Syn",202.5,0.0521525392144154,0.141007778938813,TRUE,TRUE,FALSE,FALSE,TRUE
"64","29571","Syn",558.5,0.763477256518693,1.74979681876234,TRUE,FALSE,FALSE,FALSE,FALSE
"65","29578","Syn",462,0.171170667414753,0.332520608382677,TRUE,TRUE,FALSE,FALSE,FALSE
"66","29599","Syn",2193.5,0.25270526217435,0.382038778590503,TRUE,FALSE,FALSE,FALSE,FALSE
"67","29696","Syn",133,0.0126695946914064,1.58777429467085,TRUE,TRUE,FALSE,FALSE,FALSE
"68","29704","Syn",628.5,0.0636378051252692,0.398467432950192,TRUE,TRUE,FALSE,FALSE,FALSE
"69","29711","Syn",485,0.0315126817159079,0.3685127133403,TRUE,TRUE,FALSE,FALSE,FALSE
"70","29775","Syn",3.5,0.0786713934725144,0.438465110878904,TRUE,TRUE,FALSE,FALSE,FALSE
"71","29784","Syn",7127,0.13525736465456,0.383315917798676,TRUE,TRUE,FALSE,FALSE,FALSE
"72","29818","Syn",547,0.0382094927035571,0.53634041565076,TRUE,TRUE,FALSE,FALSE,FALSE
"73","29844","Syn",470.5,0.119072866755688,0.461859979101358,TRUE,TRUE,FALSE,FALSE,FALSE
"74","29851","Syn",61.5,0.0281113520744847,0.0772088703123186,TRUE,TRUE,FALSE,FALSE,TRUE
"75","29863","Syn",4251,0.47189168269024,0.573957970509695,TRUE,FALSE,FALSE,FALSE,FALSE
"76","29864","Syn",812,0.108762399622107,0.49802623940555,TRUE,TRUE,FALSE,FALSE,FALSE
"77","29995","Syn",583.674641759892,0.114831196802693,0.559096714269128,TRUE,TRUE,FALSE,FALSE,FALSE
"78","30103","Syn",616,0.977043147860723,0.804655752931615,FALSE,FALSE,FALSE,FALSE,FALSE
"79","30159","Syn",113,0.0676691430770299,0.231278300243817,TRUE,TRUE,FALSE,FALSE,TRUE
"80","30259","Syn",1454,0.191438325739596,0.371183095321026,TRUE,TRUE,FALSE,FALSE,FALSE
"81","30321","Syn",95,0.257542982084811,0.44937884593057,FALSE,FALSE,FALSE,FALSE,FALSE
"82","30642","Syn",74,0.0653431835077486,0.485196795541623,TRUE,TRUE,FALSE,FALSE,FALSE
"83","30648","Syn",3038.5,0.321197329936111,0.448798328108673,TRUE,FALSE,FALSE,FALSE,FALSE
"84","30650","Syn",1002,0.212549289045082,0.359166376407756,TRUE,FALSE,FALSE,FALSE,FALSE
"85","30653","Syn",2877,0.115904823398834,0.464472309299895,TRUE,TRUE,FALSE,FALSE,FALSE
"86","30654","Syn",2.91038304567337e-11,0.0311905958022091,13.5247300592128,FALSE,TRUE,FALSE,FALSE,FALSE
"87","30658","Syn",5330.5,0.402859473232997,0.61941251596424,TRUE,FALSE,FALSE,FALSE,FALSE
"88","30662","Syn",375,0.162429938687726,0.255253686288169,TRUE,TRUE,FALSE,FALSE,FALSE
"89","30679","Syn",4786,0.0991110309382753,0.256008359456635,TRUE,TRUE,FALSE,FALSE,FALSE
"90","30681","Syn",4586,1.03332131067731,1.4384651108789,TRUE,FALSE,FALSE,FALSE,FALSE
"91","30686","Syn",3567.5,0.182794195421323,0.510217113665389,TRUE,TRUE,FALSE,FALSE,FALSE
"92","30694","Syn",518.5,0.0710623337375253,0.293451758969,TRUE,TRUE,FALSE,FALSE,FALSE
"93","30721","Syn",135,0.0798054681165641,0.899106002554278,TRUE,TRUE,FALSE,FALSE,FALSE
"94","30725","Syn",1,0.00116761951922211,8.22320910251945,TRUE,TRUE,FALSE,FALSE,FALSE
"95","30756","Syn",855,0.426498803369119,0.840938116800186,TRUE,FALSE,FALSE,FALSE,FALSE
"96","30799","Syn",46,0.20427349803727,0.55056310228724,TRUE,FALSE,FALSE,FALSE,FALSE
"97","30838","Syn",657.5,0.03822976662428,0.216997561825148,TRUE,TRUE,FALSE,FALSE,TRUE
"98","30883","Syn",56,0.016229347959752,0.298560315801695,TRUE,TRUE,FALSE,FALSE,FALSE
"99","30889","Syn",369,0.0499162347100487,2.20846394984326,TRUE,TRUE,FALSE,FALSE,FALSE
"100","30892","Syn",166,0.272571888753763,0.571461743875537,TRUE,FALSE,FALSE,FALSE,FALSE
"101","30893","Syn",772,0.0814786572231126,0.369905956112853,TRUE,TRUE,FALSE,FALSE,FALSE
"102","30900","Syn",98,0.123003371530341,0.25920120747707,TRUE,TRUE,FALSE,FALSE,FALSE
"103","30937","Syn",28.5,0.231311810782426,0.685823754789272,TRUE,FALSE,FALSE,FALSE,FALSE
"104","30984","Syn",319.5,0.174309333872509,0.780099849065367,FALSE,TRUE,FALSE,FALSE,FALSE
"105","31065","Syn",1110,0.351951231343247,0.419191919191919,TRUE,FALSE,FALSE,FALSE,FALSE
"106","31076","Syn",1382.5,0.187908884951194,0.754208754208754,TRUE,TRUE,FALSE,FALSE,FALSE
"107","31236","Syn",28.5,0.0375708892849249,0.178683385579937,TRUE,TRUE,FALSE,FALSE,TRUE
"108","31403","Syn",429,0.0611926273018141,0.84610472541507,TRUE,TRUE,FALSE,FALSE,FALSE
