"";"ID";"Area_zs";"mean_perm";"SD_perm";"z-score"
"1";"101_Elin";0,0192030994345194;14,1163177590621;2,68618187868553;-5,24801197249009
"2";"1025_MaJo";0,0176689593595225;13,4493795921063;1,94277151569702;-6,91368517822218
"3";"1027_ReEd";0,0216241949659939;17,1477807012098;2,89336654332517;-5,91911057579372
"4";"103_PG";0,0351538099479492;10,4242517405543;1,66966246445415;-6,22227435292006
"5";"10_AS";0,0660628044544424;9,15959811210632;1,50654090848117;-6,03603609862783
"6";"1107_GeBe";0,00725995376346812;16,7487565533868;2,8453154667254;-5,88388064360776
"7";"1178_AlCa";0,0976035107372575;9,71265576461266;1,87366991135386;-5,13166817464014
"8";"1188_MiBo";0,0205735040118696;25,8764760469135;4,84247857740871;-5,33939430595015
"9";"1198_LiKe";0,0373718174139613;4,04234580993652;0,759572222684266;-5,27267042279313
"10";"1230_FeKe";0,0163831206002543;10,7217634927659;1,95765319922513;-5,46847642698053
"11";"12_CH";0,0386310307540089;5,59709415435791;1,25399715195649;-4,43259629013635
"12";"13_vz";0,00958304441668662;11,0113480140423;1,90386842422097;-5,7786372365135
"13";"146_ChSa";0,0967508278083617;0,593105822596057;0,0856343115711947;-5,79621632591786
"14";"147_MeWi";0,324102265506803;9,4066227616935;1,57344252540474;-5,77238783720454
"15";"148_KaHe";0,115351786732044;4,96270505313216;0,732575678670864;-6,61686349619854
"16";"149_MaRo";0,900035948885852;0,814229208847572;0,124891993986979;0,687047562450048
"17";"150_AnTa";0,10699618973146;16,5083950897743;3,11025117271194;-5,27333581414323
"18";"156_LoGr";0,100536404305775;0,712693760312837;0,114502455924511;-5,34623778210176
"19";"157_OlJe";0,0933892685175239;5,81750285049965;0,879706424156298;-6,50684526655806
"20";"158_JuWa";0,530227720559818;14,1174183418011;2,12529052038731;-6,39309802161313
"21";"160_ToPa";0,110083364421861;9,46966219934924;1,58136169125711;-5,91868317455378
"22";"161_FrCo";0,117577923562627;19,5071500580886;3,14827106275008;-6,15880009950249
"23";"1_LD";0,300519907310074;15,4844946302217;2,362190050746;-6,42792256199555
"24";"2002_PaKr";0,0335382175565108;14,5376985686166;2,30692507661942;-6,28722644617249
"25";"2006_MeFu";0,0259757163299889;2,09078084042198;0,413810645622593;-4,98973418382076
"26";"2008_SaMa";0,0887667806752681;2,99366891795191;0,445838865761744;-6,5155874921614
"27";"2009_YaAh";0,0030369075534188;19,1567286458509;4,26024800221058;-4,49591003349074
"28";"2010_SoBr";0,11104251486954;5,14535033127357;0,854881075552747;-5,88889842151315
"29";"2011_CoSc";0,0262271616458644;19,7180390653939;3,3472708151287;-5,88294553722595
"30";"2012_FiDo";0,0648187262302504;5,94995067201812;1,28975401109082;-4,56298789938281
