"","participant","consistency","x-sd","y-sd","mean_simulation","SD_simulation","z-score"
"35",29255,0.0901259815783543,0.154119351328209,0.257714869339001,10.2851831813147,1.56152139833821,-6.52892570706114
"36",29289,0.164432218189877,0.233634069964734,0.0536544298406546,2.72160086850891,0.493137206240885,-5.18551149245453
"37",29291,0.074290646900423,0.12257231761114,0.254960028622231,7.8089903406859,1.2384534666962,-6.24545039582247
"38",29303,0.120438333675895,0.194639474996208,0.298544967230098,15.4318364865452,2.4603141617298,-6.22335081878494
"39",29306,0.173448762906682,0.301954197233345,0.224772438046627,15.3418893591189,2.65328840109327,-5.71684577898209
"40",29320,0.177005394708306,0.130682044214972,0.211440129590817,7.39746352579358,1.08702535892023,-6.6424008159824
"41",29324,2.95215301058961,0.183550685094529,0.207987205635521,9.99721338202427,1.53828782083337,-4.57980637694834
"42",29332,0.0642972792221517,0.197451143577704,0.191908840948079,9.59576643811549,1.58202410505287,-6.02485709822657
"43",29346,0.0599760157526942,0.351714464874032,0.121216425124494,10.4857862175796,1.88194155547337,-5.5399224123113
"44",29352,0.0361110866652184,0.312542589163166,0.32182633882413,24.4745438087637,4.12524823115035,-5.92411204192765
"45",29367,0.0258990224370757,0.299508189628967,0.0113845073572607,0.880459191879274,0.134412344812877,-6.35775062649103
"46",29395,0.611093445763457,0.234350090323707,0.217051390961171,11.5632702091577,1.88388956565388,-5.813598080837
"47",29400,1.32047635868843,0.288817617149758,0.191817623449027,13.8665476390858,2.33154643284095,-5.38100854595043
"48",29403,0.266216014978533,0.276226724865974,0.225749808658295,16.2198081493274,2.60703053877438,-6.11944965625487
"49",29408,0.063014021006738,0.193545293379353,0.19278330838013,1.14449761171829,0.220082530765534,-4.91399106939437
"50",29426,0.0357984365642209,0.0924689716314092,0.172478416786172,3.15588317168937,0.639067785308253,-4.88224380394982
"51",29434,0.163240495137047,0.233828644354099,0.223326802565262,14.1360300250516,2.0465627901329,-6.82744238157833
"52",29436,0.0358929582235255,0.208046157334918,0.137302529097868,7.51275677348187,1.18832370304548,-6.29194199871326
"53",29457,0.113284409234615,0.250369363979563,0.206193845286841,12.5896759429454,2.12609069944601,-5.86823108579595
"54",29463,0.140466464669702,0.351000112176405,0.285818346978639,27.0892514427093,4.28233545396954,-6.29301120094626
"55",29485,0.198626953822439,0.326768171910785,0.0622690384632402,5.47645780843467,0.807009607890355,-6.5399851538438
"56",29489,0.434584723763568,0.332423477879039,0.191506460771555,17.2316569774133,2.53700887236026,-6.62081730838526
"57",29497,0.0815134356828031,0.189684638253357,0.203460451092276,7.51131710607337,1.79938732562861,-4.12907413794024
"58",29514,0.0124680132070918,0.304092622712667,0.0066394780632611,0.520851026671871,0.0766277009638353,-6.63445473464892
"59",29526,0.0637392994409504,0.305650456955206,0.363282394889203,21.2690009002476,3.68327931875873,-5.75716902402961
"60",29530,0.433604872256705,0.193117813260845,0.243952254179023,9.79140498104137,1.91122867614435,-4.89622211386175
"61",29535,0.299855601110779,0.229971249490345,0.245010286285187,11.2065449614664,2.03242092687027,-5.3663536013432
"62",29544,0.832911522448588,0.187667273394308,0.220885535632635,11.1087468082976,1.62466651768248,-6.32488893813549
"63",29548,0.0521525392144154,0.286371329145405,0.303620384045675,22.9278883336102,3.84528430668329,-5.94903626622266
"64",29571,0.763477256518693,0.210956388624831,0.24483018377137,11.7723526979537,2.13208380812076,-5.1634346640146
"65",29578,0.171170667414753,0.195528588147587,0.253920105759082,12.7145707994041,1.81583222934981,-6.90779683786133
"66",29599,0.25270526217435,0.290271291511118,0.12199081244657,6.65038416005716,1.07435418488116,-5.95490666664133
"67",29696,0.0126695946914064,0.0606094556152392,0.0701327474592969,1.0575325649324,0.171457167925286,-6.09401743236712
"68",29704,0.0636378051252692,0.214178214534328,0.19024641654294,10.0347653885222,1.87472395751644,-5.31871774690834
"69",29711,0.0315126817159079,0.0516353848528889,0.270002426097095,3.49357124375221,0.635623864773426,-5.44670953043965
"70",29775,0.0786713934725144,0.173261110898564,0.196981966503393,8.94617757213597,1.36003594620739,-6.52005279962743
"71",29784,0.13525736465456,0.170574909085294,0.234731274912184,9.13397642234486,1.62620203032899,-5.5335800164201
"72",29818,0.0382094927035571,0.264239161213471,0.0104903070179155,0.724861871871677,0.112876660160868,-6.0832095686524
"73",29844,0.119072866755688,0.171225238418656,0.116683923590989,4.84664924593512,0.872073192076158,-5.42107752208782
"74",29851,0.0281113520744847,0.302472188006714,0.0210386215928053,1.66100368493989,0.259475519013379,-6.29304968373995
"75",29863,0.47189168269024,0.274283458796445,0.259255043934048,19.0622563528871,2.96410668938127,-6.27182710284879
"76",29864,0.108762399622107,0.257599319582458,0.274245866498568,15.460548201518,2.62317518650433,-5.85236772628742
"77",29995,0.114831196802693,0.275898664846143,0.24606226023161,10.9440729447267,2.01033155194474,-5.38679390344745
"78",30103,0.977043147860723,0.28876147364773,0.258533826828144,20.0129478936813,2.9804835242231,-6.3868511907921
"79",30159,0.0676691430770299,0.2032109185379,0.267102440119813,13.1663526353798,2.02913310322727,-6.45531013784643
"80",30259,0.191438325739596,0.202543474141679,0.186946013664086,10.4149969032782,1.6144413271297,-6.33256743725395
"81",30321,0.257542982084811,0.303382286116139,0.245420310713211,15.0723195490328,3.68538340808504,-4.01987389818034
"82",30642,0.0653431835077486,0.235587377712017,0.267667933939895,15.2785782697504,2.63816581689923,-5.76659548417753
"83",30648,0.321197329936111,0.249718033737008,0.19253512049223,12.7036580719214,1.94292973677129,-6.37308725459218
"84",30650,0.212549289045082,0.258473011913238,0.360179765441727,21.4458506325168,3.67232974493471,-5.78197025274191
"85",30653,0.115904823398834,0.281638031648796,0.337725373491943,25.0367075989368,3.87821443071439,-6.42584447579073
"86",30654,0.0311905958022091,0.0605422383370576,0.0169353988116627,0.0621797767812942,0.0489041180601197,-0.633672218380238
"87",30658,0.402859473232997,0.263255508961725,0.210433973967631,9.04192303891217,1.72333852776607,-5.01298115633602
"88",30662,0.162429938687726,0.30098374262864,0.277811230767438,17.3140279123375,3.75897398855228,-4.56284029255958
"89",30679,0.0991110309382753,0.22467197769761,0.213838792813932,12.1813638721762,1.85347161362088,-6.5187148011587
"90",30681,1.03332131067731,0.170950743471657,0.204251498041658,9.546747921639,1.47663839559948,-5.76541056790374
