"","ID","group","triangle_area","Consistency","totLineCross","SynQuest","SynCons","SynSD","SynPermzs","SynLine"
"272",45043,"Ctl",27354,2.01632489564838,0.185649599442703,FALSE,FALSE,TRUE,TRUE,TRUE
"273",45047,"Ctl",7909.5,0.31809463147764,0.118270830914509,TRUE,FALSE,TRUE,TRUE,TRUE
"274",45169,"Ctl",0,0.0478500440181103,0.158133054684779,FALSE,TRUE,TRUE,TRUE,TRUE
"275",45280,"Ctl",9975,0.287059802121593,0.494117419404776,FALSE,FALSE,FALSE,TRUE,FALSE
"276",45282,"Ctl",0,0,1.00162544990131,FALSE,TRUE,FALSE,FALSE,FALSE
"277",45290,"Ctl",1440.5,0.866480902839687,0.139982197453462,FALSE,FALSE,TRUE,TRUE,TRUE
"278",45292,"Ctl",29890,0.185207991242474,0.107182940516274,FALSE,TRUE,TRUE,TRUE,TRUE
"279",45299,"Ctl",33,0.0894254480027631,0.114303959131545,FALSE,TRUE,TRUE,TRUE,TRUE
"280",45300,"Ctl",25,0.0188175501801338,0.0808661325902705,FALSE,TRUE,TRUE,TRUE,TRUE
"281",45363,"Ctl",6937.5,0.466069891579739,0.819671813924687,TRUE,FALSE,TRUE,FALSE,FALSE
"282",45369,"Ctl",6.5,0.0452723377158925,0.147819188049073,FALSE,TRUE,TRUE,TRUE,TRUE
"283",45376,"Ctl",0,0.192819613378693,0.14439413289988,FALSE,TRUE,TRUE,TRUE,TRUE
"284",45409,"Ctl",0,6.28513389849257e-06,1.03467626456132,FALSE,TRUE,FALSE,FALSE,FALSE
"285",45475,"Ctl",430,0.125908401926672,0.151708657455784,FALSE,TRUE,TRUE,TRUE,TRUE
"286",45714,"Ctl",38292.5,4.03450699498866,0.757498355199505,FALSE,FALSE,TRUE,TRUE,FALSE
"287",45720,"Ctl",7,0.0175372343111021,0.0638569604086845,FALSE,TRUE,TRUE,TRUE,TRUE
"288",45727,"Syn",391,0.0882337014918289,0.11815472735013,TRUE,TRUE,TRUE,TRUE,TRUE
"289",45728,"Syn",4.5,0.179102770963542,0.149792948643523,TRUE,TRUE,TRUE,TRUE,TRUE
"290",45731,"Syn",309,0.198228064468262,0.128081582104571,TRUE,TRUE,TRUE,TRUE,TRUE
"291",45733,"Ctl",67,0.485783816569224,0.0928247997213514,FALSE,FALSE,TRUE,TRUE,TRUE
"292",45734,"Syn",4,0.0306877606520292,0.118773946360153,TRUE,TRUE,TRUE,TRUE,TRUE
"293",45736,"Syn",774,0.282358538545485,0.114303959131545,FALSE,FALSE,TRUE,TRUE,TRUE
"294",45743,"Syn",378,0.0436545084581509,0.119799527845505,TRUE,TRUE,TRUE,TRUE,TRUE
"295",45748,"Syn",100,0.0338132688041944,0.102055033089516,TRUE,TRUE,TRUE,TRUE,TRUE
"296",45759,"Syn",1023,0.10285849771219,0.122740818143117,TRUE,TRUE,TRUE,TRUE,TRUE
"297",45760,"Syn",80,0.0231913549363711,0.106312163783428,TRUE,TRUE,TRUE,TRUE,TRUE
"298",45763,"Syn",4,0.0506279726516052,0.13572506675955,TRUE,TRUE,TRUE,TRUE,TRUE
"299",45775,"Syn",484.5,0.0532162828146308,0.15383722280274,TRUE,TRUE,TRUE,TRUE,TRUE
"300",45776,"Syn",767,0.36672253395535,0.114594218042494,TRUE,FALSE,TRUE,TRUE,TRUE
"301",45782,"Syn",563.5,0.124364457670546,0.179708967065289,FALSE,TRUE,TRUE,TRUE,TRUE
"302",45784,"Ctl",0,0.193694280211321,1.03467626456132,FALSE,TRUE,FALSE,FALSE,FALSE
"303",45791,"Syn",639.5,0.0192252789915752,0.114594218042494,TRUE,TRUE,TRUE,TRUE,TRUE
"304",45819,"Syn",57,0.119449308548851,0.11935446418205,TRUE,TRUE,TRUE,TRUE,TRUE
"305",45820,"Ctl",0,0.000106624641409095,0.9452571693951,FALSE,TRUE,FALSE,FALSE,FALSE
"306",45829,"Ctl",5.5,1.89506668497469,0.170149773598049,FALSE,FALSE,TRUE,TRUE,TRUE
"307",45878,"Ctl",12294,0.347090617375502,0.144316730523627,FALSE,FALSE,TRUE,TRUE,TRUE
"308",45905,"Syn",1181.5,0.134321922699887,0.137176361314292,TRUE,TRUE,TRUE,TRUE,TRUE
"309",45920,"Syn",787.5,0.32627393543821,0.126843144084523,TRUE,FALSE,TRUE,TRUE,TRUE
"310",45948,"Ctl",113.5,0.155871380427235,0.123321335965014,TRUE,TRUE,TRUE,TRUE,TRUE
"311",46082,"Ctl",0,0.170143614049381,0.898486783544255,FALSE,TRUE,TRUE,FALSE,FALSE
"312",46110,"Ctl",621.5,0.302557677523969,0.136537791710205,FALSE,FALSE,TRUE,TRUE,TRUE
"313",46112,"Ctl",3,0.00156559143583946,0.875304771856496,FALSE,TRUE,FALSE,FALSE,FALSE
"314",46125,"Syn",270,0.114384485151475,0.195170091721816,TRUE,TRUE,TRUE,TRUE,TRUE
"315",46126,"Ctl",263,0.0661317896033186,0.0975850458609079,TRUE,TRUE,TRUE,TRUE,TRUE
"316",46130,"Ctl",20469.5,1.21462022762364,0.573551608034367,FALSE,FALSE,TRUE,FALSE,FALSE
"317",46150,"Ctl",61870,3.62283328835994,0.313615077982894,FALSE,FALSE,TRUE,TRUE,FALSE
"318",46182,"Ctl",0,0.00924089060442155,0.905859359882348,FALSE,TRUE,FALSE,FALSE,FALSE
"319",46214,"Ctl",49.5,0.0415870453127461,0.109833971902937,TRUE,TRUE,TRUE,TRUE,TRUE
"320",46243,"Ctl",0,0,1.05596191803088,FALSE,TRUE,FALSE,FALSE,FALSE
"321",46264,"Ctl",7.5,0.477159661215874,0.39821587522737,FALSE,FALSE,TRUE,TRUE,FALSE
"322",46288,"Syn",828,0.0918505447584192,0.145013351909904,TRUE,TRUE,TRUE,TRUE,TRUE
"323",46293,"Ctl",39,0.139626640756838,0.110279035566392,FALSE,TRUE,TRUE,TRUE,TRUE
"324",46297,"Ctl",19,0.00234094513805921,0.899260807306784,FALSE,TRUE,FALSE,TRUE,FALSE
"325",46299,"Ctl",0,0.0556539287879328,0.136441038739889,FALSE,TRUE,TRUE,TRUE,TRUE
"326",46308,"Ctl",235,0.116922192285324,0.139749990324703,FALSE,TRUE,TRUE,TRUE,TRUE
"327",46313,"Ctl",207,0.627089837643095,0.0988234838809551,FALSE,FALSE,TRUE,TRUE,TRUE
"328",46315,"Ctl",858,0.365676940999831,0.10184217655482,FALSE,FALSE,TRUE,TRUE,TRUE
"329",46320,"Ctl",1,2.19219772083293,0.12759781725299,FALSE,FALSE,TRUE,TRUE,TRUE
"330",46358,"Ctl",174.5,0.021699922143536,0.186636479739928,FALSE,TRUE,FALSE,TRUE,TRUE
"331",46363,"Ctl",2973.5,0.415871892164996,0.937574983551995,FALSE,FALSE,TRUE,FALSE,FALSE
"332",46378,"Ctl",13190,1.21022529605369,0.131235728936878,FALSE,FALSE,TRUE,TRUE,TRUE
"333",46419,"Ctl",3851.5,0.928390895111131,0.165428228646619,TRUE,FALSE,TRUE,TRUE,TRUE
"334",46439,"Ctl",24,0.0828373807239865,0.117690313092612,FALSE,TRUE,TRUE,TRUE,TRUE
"335",46473,"Syn",8,0.116743434333876,0.127288207747978,TRUE,TRUE,TRUE,TRUE,TRUE
"336",46480,"Ctl",0,0.0588248839465697,0.914934788498007,FALSE,TRUE,FALSE,TRUE,FALSE
"337",46545,"Ctl",0,0,1.03361198188784,FALSE,TRUE,FALSE,FALSE,FALSE
"338",46555,"Ctl",3373,0.193224143862022,0.123185881806571,FALSE,TRUE,TRUE,TRUE,TRUE
"339",46572,"Ctl",70,0.00668202764976959,0.655133712604977,FALSE,TRUE,FALSE,FALSE,FALSE
"340",46583,"Syn",67.5,0.12069824974535,0.119431866558303,TRUE,TRUE,TRUE,TRUE,TRUE
"341",46603,"Syn",715,0.144982671248835,0.104783466852432,TRUE,TRUE,TRUE,TRUE,TRUE
"342",46604,"Ctl",42,0.0174723784060079,0.0925345408104029,FALSE,TRUE,TRUE,TRUE,TRUE
"343",46613,"Syn",43.5,0.188243175785547,0.109833971902937,TRUE,TRUE,TRUE,TRUE,TRUE
